NORAD_CAT_ID,RCS,SOURCE
6124,0.68,15
6125,6.2,39
6126,2.94,47
6127,5.3,42
6139,0.014,12
6148,2.21,36
6149,4.44,50
6153,6.79,53
6154,3.02,58
6155,12.3,27
6157,0.008,10
6159,0.017,11
6160,0.013,12
6167,0.08,10
6173,0.7,18
6176,0.02,19
6180,0.79,25
6192,9.31,7
6206,1.45,21
6207,4.87,44
6210,0.47,17
6213,0.016,9
6214,0.048,23
6216,0.08,12
6217,1.49,22
6218,2.78,33
6235,2.69,47
6236,0.26,16
6237,4.62,51
6252,0.019,12
6256,4.27,46
6257,6.52,57
6262,0.69,14
6264,0.68,14
6265,0.71,15
6266,0.74,16
6267,0.74,14
6268,0.72,15
6269,0.77,13
6270,0.73,14
6271,6.22,44
6275,1.36,43
6276,1.11,20
6277,0.38,15
6278,2.17,4
6284,0.035,8
6289,0.048,13
6302,6.99,37
6305,3.3,47
6306,4.66,47
6319,2.51,53
6320,4.56,37
6323,2.06,27
6324,4.31,42
6350,1.73,37
6392,4.77,54
6393,6.59,41
6396,0.015,21
6437,2.2,6
6659,4.42,55
6660,7.24,56
6675,0.71,22
6676,0.75,14
6677,0.71,21
6678,0.69,14
6679,0.71,17
6680,0.68,17
6681,0.69,18
6682,0.74,17
6683,6.3,43
6707,1.62,30
6708,4.83,41
6747,0.009,11
6748,0.013,12
6752,0.02,15
6764,0.018,14
6765,0.017,13
6766,0.033,23
6767,0.015,14
6779,16.7,42
6787,1.56,50
6788,1.21,21
6796,1.26,5
6797,15.4,34
6822,0.33,12
6823,0.05,10
6824,0.07,9
6825,3.4,57
6826,4.51,36
6828,2,33
6829,5.02,51
6842,0.018,16
6843,0.042,21
6844,0.035,20
6845,0.7,17
6846,0.67,18
6847,0.69,15
6848,0.71,18
6849,0.7,18
6850,0.69,16
6851,0.71,17
6852,0.66,17
6853,5.59,42
6909,1.37,27
6910,0.65,24
6916,14.6,9
6920,2.96,55
6921,3.79,42
6938,0.34,17
6965,2.07,27
6966,5.07,49
6973,5.32,4
6974,5.66,4
6976,1.88,5
6985,0.68,17
6986,0.67,24
6987,0.7,20
6988,0.69,14
6989,0.69,18
6990,0.67,14
6991,0.67,16
6992,0.68,19
6993,6.38,48
7003,2.09,26
7004,5.62,43
7005,3.14,51
7008,1.82,33
7009,4.17,40
7012,0.3,16
7013,0.92,22
7014,0.11,6
7015,0.37,16
7016,0.24,13
7017,0.032,26
7018,1,25
7019,0.78,36
7020,0.24,25
7021,0.18,12
7022,0.17,25
7023,0.07,9
7024,0.12,17
7025,0.26,15
7026,0.07,11
7027,0.11,10
7028,1.27,35
7029,0.32,9
7030,0.05,8
7031,0.11,4
7032,3,35
7033,0.15,11
7034,0.09,13
7035,0.16,11
7036,0.09,10
7037,0.19,16
7038,0.11,8
7039,0.11,8
7040,0.07,10
7041,0.21,10
7042,0.11,11
7043,0.07,7
7044,0.21,11
7045,0.1,15
7046,0.07,6
7048,0.23,15
7049,0.12,18
7050,0.1,6
7051,0.15,6
7052,0.08,7
7053,0.11,2
7054,0.28,19
7055,0.19,12
7056,0.06,6
7057,0.4,13
7058,0.07,10
7059,0.09,10
7060,0.12,8
7061,0.16,9
7063,0.1,9
7064,0.036,14
7065,0.08,9
7066,0.09,9
7068,0.048,12
7069,0.02,11
7071,0.22,11
7072,0.13,5
7073,0.14,5
7074,0.06,9
7075,0.13,9
7076,0.12,9
7079,0.4,23
7080,0.13,8
7081,0.06,9
7082,0.12,7
7083,0.037,21
7084,0.09,11
7085,0.06,16
7086,0.047,9
7087,0.05,12
7088,0.035,16
7091,0.18,13
7092,0.041,16
7093,0.11,4
7094,2.07,43
7095,4.45,48
7124,0.09,14
7126,0.08,9
7127,0.05,7
7128,0.047,7
7129,0.041,10
7130,0.036,20
7131,0.07,6
7132,0.11,5
7133,0.043,12
7134,0.05,5
7135,0.06,8
7136,0.042,27
7137,0.11,8
7138,1,30
7139,0.06,10
7140,0.048,14
7141,0.08,11
7142,0.19,15
7143,0.06,8
7145,0.28,19
7146,0.13,9
7147,0.4,17
7148,0.08,12
7149,0.036,16
7150,0.11,12
7151,0.05,14
7152,0.05,10
7153,0.3,14
7155,0.025,8
7156,0.1,5
7158,0.09,8
7160,0.07,6
7161,0.031,15
7162,0.07,10
7163,0.11,6
7164,0.11,11
7165,0.11,15
7166,0.043,11
7167,0.1,15
7168,0.022,17
7169,0.08,10
7170,0.09,11
7173,0.06,11
7174,0.019,13
7175,0.043,18
7176,0.044,15
7177,0.06,9
7179,0.05,16
7180,0.1,7
7181,0.06,7
7182,0.07,13
7183,0.11,10
7184,0.05,9
7185,0.08,7
7186,0.09,13
7190,0.025,12
7191,0.016,9
7192,0.042,14
7193,0.08,11
7194,0.11,9
7195,0.02,15
7196,0.11,6
7198,0.034,14
7200,0.09,9
7202,0.04,8
7203,0.048,13
7209,4.12,53
7210,6.39,48
7213,0.69,26
7218,1.29,48
7219,1.15,22
7228,0.79,23
7229,2.57,9
7250,3.16,5
7265,0.71,20
7266,0.75,16
7267,0.69,18
7268,0.69,15
7269,0.69,18
7270,0.73,13
7271,0.7,15
7272,0.73,14
7273,6.2,50
7274,4.36,54
7275,7.11,51
7276,14.6,27
7281,3.41,54
7284,5.11,46
7291,2.35,50
7297,3.37,44
7298,3.15,4
